cluster_id,lat,lon,n_segments,avg_arrival_delay,avg_departure_delay,pct_weekend,pct_peak
1,-35.2505862,149.1336686,294,10.54251700680272,26.78061224489796,0.0,41.156462585034014
2,-35.228438,149.143558,280,17.107142857142858,17.848214285714285,0.0,43.214285714285715
3,-35.272761,149.130168,242,3.7768595041322315,9.985537190082646,0.0,41.735537190082646
5,-35.265918,149.131244,294,10.481859410430838,17.426303854875286,0.0,42.17687074829932
6,-35.259988,149.132039,293,14.878270762229805,21.37542662116041,0.0,41.29692832764505
7,-35.1869861,149.1433722,253,9.965744400527008,14.098814229249012,1.5810276679841897,43.08300395256917
8,-35.193389,149.150972,308,17.339285714285715,21.5762987012987,0.0,42.857142857142854
9,-35.200556,149.149305,311,16.59646302250804,23.741157556270096,0.0,42.765273311897104
10,-35.235895,149.143757,293,13.984641638225256,17.977815699658702,0.0,41.29692832764505
11,-35.221703,149.144722,289,15.69204152249135,24.68339100346021,0.0,43.25259515570934
12,-35.2445364,149.1344672,294,12.931972789115646,18.1734693877551,0.0,41.156462585034014
13,-35.2091361,149.1472889,295,23.916949152542372,27.93220338983051,0.0,42.71186440677966
14,-35.2380919680877,149.14060530943092,272,14.347426470588236,19.485294117647058,0.0,40.07352941176471
15,-35.216930298182895,149.14529666624276,287,13.860627177700348,21.329268292682926,0.0,42.857142857142854
16,-35.26984739515522,149.1306445990665,283,6.0477031802120145,13.047703180212014,0.0,42.04946996466431
17,-35.23311599642827,149.1448227537127,282,21.107801418439713,22.98971631205674,0.0,42.5531914893617
18,-35.224943178193875,149.14360849093413,278,11.316546762589928,15.050359712230216,0.0,44.60431654676259
19,-35.205867940087245,149.1480429374563,264,29.672348484848484,35.729166666666664,0.0,42.803030303030305
20,-35.24775890581199,149.13414510523103,292,16.998287671232877,25.47945205479452,0.0,41.0958904109589
21,-35.25629724081626,149.1328297226351,248,5.419354838709677,18.93548387096774,0.0,41.53225806451613
22,-35.213926315307155,149.14650410619222,283,14.798586572438163,22.526501766784452,0.0,42.75618374558304
23,-35.187626538957424,149.14732317243403,285,13.017543859649123,17.573684210526316,0.3508771929824561,43.15789473684211
24,-35.18972109570827,149.15100587444593,278,12.886690647482014,17.514388489208635,0.0,44.60431654676259
25,-35.253285544258986,149.1333212716252,273,5.163003663003663,18.683150183150182,0.0,42.49084249084249
26,-35.19649200439467,149.15026211208894,261,16.515325670498083,22.557471264367816,0.0,43.29501915708812
27,-35.24193153381433,149.13556925455768,288,13.965277777777779,19.21527777777778,0.0,40.97222222222222
